,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53
IFA_FLOW,-0.02152197522746043,-0.040243637295520655,0.17426472669798243,0.2683377102053213,-0.07915194815328147,0.08916148249368509,0.15874330681404544,0.08951101290098315,-0.2573656126502253,-0.2610711862464446,-0.17822908674777385,-0.010633314181170755,0.1486717042116361,-0.14022932812917874,0.5484532254264384,-0.1960106623604378,0.08062026491112612,-0.02195246973132173,-0.2966809408454274,0.1673805711953535,-0.021369169492936105,-0.014742604241834942,0.06945847168632001,-0.13377678744453708,-0.3264922456046599,0.14326246985794258,-0.07251764542407074,-0.037541783342346785,0.020341126435929786,-0.01168370129875608,0.00790158894466836,0.010643615904227183,0.09677070654975257,0.09168611573195473,-0.041711327373442735,0.0011751850450024293,-0.010012894683718784,0.0071101437155906356,0.0017055179347592263,-0.011357769902719734,0.004958704951739614,-0.006403464311755504,0.00817873434673121,-2.144559685844391e-05,-6.120969955998926e-05,1.0362474352859838e-05,-1.1056811136672072e-05,4.16753477586586e-06,3.617783167156547e-08,2.6115165271424294e-09,-5.626497604659261e-08,-4.55457138522131e-09,-1.0590859842497395e-20
IFA2_FLOW,-0.07680245943458483,0.033189026934705,0.2511050216114347,0.10046126399244966,-0.16857078151602028,-0.10990814829136229,-0.07518100861549154,-0.0035091498375607664,-0.12608250551470748,-0.013020470003066156,-0.34283292440172036,0.07675280969905482,-0.06663582468827582,0.32785937040059976,-0.14417029946648707,0.05575753867532627,-0.038700737406110304,-0.2672399166958972,0.0947016958122794,-0.19639835986025883,-0.08958165762500425,0.6684976668132337,0.01569645272105668,-0.11471285211741898,-0.073735784489027,0.04110353186717606,-0.013235018436095662,-0.0007883714539020104,0.0049903117009191,0.004608048933723281,-0.0015002405541612645,-3.6407043128603785e-06,0.03910978390317978,0.016071510515723916,-0.020451051096763366,-0.00022878849401361415,0.002611944679123092,-0.0008717603072356039,0.00156232888794475,-0.001256566024761087,0.0018359139770215344,-0.0022432121241555297,0.004851260581958721,-0.00018130069779498137,-1.6751219075782603e-05,7.699128364496526e-06,1.9538555791067773e-06,2.9495142871835543e-06,-5.1117887833298204e-08,1.5331055738053233e-08,-3.1331975504587e-08,-5.006206305120063e-09,2.3166165750052344e-20
BRITNED_FLOW,0.014123568823387878,-0.003325248631500674,0.09666387146812577,0.30628426113065044,0.09436183107303932,0.11576898835382302,0.3290912986926931,-0.2752412673040588,-0.0884161707353333,-0.07672230045893275,0.1981911244608496,-0.005659153193337595,0.007908620691264278,-0.10412059235042227,-0.010367976521781149,0.25324216166555125,0.005581066225877147,0.43940529677076967,0.4295319233247294,-0.2863233379096748,-0.19206861793861602,0.07032176228921141,0.08819127631058944,-0.1302834584423706,-0.14705847542057568,-0.034160873264965703,-0.04931807092766506,-0.021722302189758763,0.029719109261344433,-0.021186668742996184,-0.0022783797949101556,0.0032629755783552153,0.07572286079514068,0.04775888860159404,-0.011989118825337467,-0.002920288640890936,-0.006317222954319702,0.0036731505975275912,0.0015285856915327925,-0.013277931325657095,-0.004526862292852187,-0.0019295520551940379,-0.021643226021425228,0.0009612964112817369,9.823940471628116e-05,-3.4833052235508617e-06,-1.8268877383907578e-05,5.712990639011306e-06,-7.552949978629769e-08,4.559358463509652e-08,8.164744547684144e-09,-5.854310152450974e-09,1.0605881621471283e-19
MOYLE_FLOW,-0.02629617161584875,-0.11239604826950138,-0.18944732982362214,0.0348246016563895,0.050955134118606644,0.27274827990946154,0.06019274677604321,-0.18546189602857377,0.020468452954288768,0.38724345210347205,-0.30508824757481884,0.13813682210833875,0.16655107168432762,-0.17705558878948385,0.05637454769283617,-0.052033110608397076,0.08774720020210068,-0.0252992347880215,0.047279735182584916,-0.2474172781926569,0.6451463716898239,0.0777188690643585,0.0686555748836098,-0.04009946321667237,-0.06725900590842272,-0.03460890418401372,-0.007715396944654227,0.0022634607197921045,0.014329939050060343,-0.0032568211656880115,-0.009888005152057039,0.0011443293587677346,0.012203500926679847,0.015417190002698103,-0.006858423145980106,0.007265146234242713,-0.00047472474871940894,0.006995596807889604,0.0028477218860944883,-0.005181082662159972,-0.002204846972620183,0.0013128702963317361,-0.003225756746851878,0.000127243373693813,1.779910216987261e-05,-1.6003279066879576e-06,-5.2838681802214065e-06,-4.88168642761078e-06,5.6920495526423504e-08,6.560397885506117e-08,-5.393029779697727e-08,-1.3062949127502656e-08,4.010388831187905e-20
EAST_WEST_FLOW,4.448881336701031e-05,-0.10028633465005411,-0.19061183221033512,-0.08620599462743257,0.01849877134912417,0.18472781547305056,0.13038221407992867,-0.16392453808307908,-0.030412992105053233,0.4729028500485724,-0.40038480195343307,0.17702997413517527,-0.1958271258467457,0.015946879184893282,0.06481549968761856,-0.0651656983517182,-0.06457912909739973,0.08612916544183528,0.004369993185969384,0.2413319482722859,-0.5473836292685167,-0.0807541323484192,-0.11538345501638543,-0.07450977832211111,0.003048240074614772,0.08125601325068713,-0.013702399503192257,0.018419445242935484,-0.013603380819396726,0.02274771457477887,0.023179966556943633,-0.023767772726547263,0.020813813068930712,0.013244586449171206,-0.004800567894142428,-0.003800835967605215,0.002697922508693742,-0.007759109911138706,-0.0034906051798213964,-0.0003899327600287513,-0.0008489637901850108,-0.0014962947215171499,-0.006665757949084334,-0.0004094157747592249,5.579549985141409e-05,1.040822804080667e-06,2.293846481480568e-06,-6.604434004669531e-07,-4.871645154871545e-09,-2.3891469701984725e-08,-2.4534634205282845e-08,1.6311911108367031e-09,-1.8422950234379453e-19
NEMO_FLOW,-0.08452488913428556,0.044868342005099364,0.2109126524367534,0.03164203514827807,-0.04824245516935183,0.009448718685171513,0.3812473604791574,-0.1929336641383195,-0.05895135718127911,0.022743346017922307,-0.03170971151295212,-0.0564855135561467,-0.004621862735688607,0.2510814464011453,-0.17652197657367671,0.3472177977014269,-0.1528733027470025,-0.20793063117179103,0.10986788612741773,0.5504392911987263,0.30812844490669045,-0.19407618039454866,0.02279785392763712,0.02164013602586769,-0.06412972059042511,0.11069888457139926,-0.01720764324175617,-0.01381006240339005,0.0006595227706126408,0.012944082419312587,0.007870974293778941,-0.014855098421969422,0.03596802739560856,0.05111389715165556,0.023352141758444807,-0.009253097597130973,0.0068543737042550176,-0.01311181091800995,-0.006871817557835842,-0.0007705744939399824,0.000149483673881931,-0.005309968523960966,-0.0015293302106583273,-2.5368755943470075e-05,5.565766146022433e-05,-7.234953517540769e-08,3.0348543807488627e-06,7.725326884505306e-07,-5.3100172870887997e-08,-4.484305071311169e-09,-6.934130486374098e-08,1.0447906551262578e-08,-1.717697224471185e-19
NSL_FLOW,-0.09955624118189006,0.046625076219443375,0.2052370796863896,-0.009362555059081554,-0.16959064080162764,-0.05448690741645587,-0.12220387409845916,-0.04229079061305615,0.14500514928959488,0.2750177501354517,0.1738215208203229,-0.05097314159887233,0.10475192609631047,0.04725162916865497,-0.3241530553150997,-0.28556266999128344,0.07143462583714334,0.5243721456192498,-0.2602761919615736,0.2640704112228194,0.07743667840259104,0.19518327478998607,0.1830221186915378,-0.10392295142950445,-0.2156602397208261,0.09651390641114173,-0.028987291322885817,-0.021049871521453965,0.017733712019667933,-0.0005710942353401727,0.002042666034816057,-0.005134563242502633,0.05021801885800045,0.02436741708577581,-0.030641960682207314,-0.0018868893928037458,0.005047817187601565,-0.015695941947503636,-0.008067022438586046,0.0010332276716077066,0.005184713165624224,-0.0007406504273686169,0.01180253809535052,0.0007109267308261066,-4.0519874238306255e-05,-4.816908717833653e-06,-1.9597932885915074e-07,-4.77453417838708e-07,2.325483000456833e-08,2.85400797529894e-09,-2.0296540269581333e-08,-1.2340510202843778e-08,-1.9456103137007575e-19
ELECLINK_FLOW,-0.09119819502989793,0.039122021685173904,0.2244228469356507,0.11766674416053599,-0.1768896696699675,-0.1564384005419166,-0.16701217573712504,0.046988932561345245,-0.04023406017574332,0.03304150505622101,-0.26060867452316616,0.0922106631941629,-0.11780902816785442,0.25862106492357195,-0.13677215778878826,-0.0781724356836002,0.014778981745041985,0.047077301615366246,0.04078804608255601,-0.3787624033817435,0.017178904112297444,-0.6605164126994463,0.15431569484862168,-0.14269347865470047,-0.10720991037551571,0.10482008117514255,0.0033846969923184804,-0.015074223672007026,0.010204762909488876,0.0036390403091338024,0.0010518904484964297,-0.008475236523455157,0.03786249098874893,-0.019773128992241915,-0.03868514942758561,0.006219805806222553,0.014468883239359178,-0.01795586895211144,-0.014615486216217183,0.0033439238722265965,0.0019808137425285587,-0.001857448678556898,0.004545940507571281,-0.00018008194906030494,9.823162606656402e-06,-2.7825066651950312e-05,-5.087828283087614e-06,-3.621893476185825e-06,-4.735003547485341e-08,-1.0958967379183476e-07,-2.1193870805273077e-08,4.540741133323999e-09,7.689942316216622e-21
VIKING_FLOW,-0.05065781065966154,0.032006284356639846,0.1360017996744636,0.08671132636703173,-0.05514153395466238,-0.08937515547400508,0.05171888289017869,-0.22912958777284204,0.12929997363323076,0.45136809267429534,0.5421191402771252,-0.05022980473081427,-0.19509958215374124,0.1059015722458344,0.34385007927450795,-0.11667833573034801,-0.03260446659566114,-0.38951626092234104,-0.06963769967613181,-0.17155172120521553,-0.04341564692321979,0.00309116456624333,0.04086069348147294,-0.06381845214861977,-0.07248680370115387,0.06331087511931538,-0.012556620099475092,4.502409378470703e-05,0.007894611647376353,0.00043450685948064055,0.002133022857258551,-0.0020675642884864665,0.02893669238754609,0.010972540211453429,-0.02713953403592226,0.007944845407839308,0.0064118217310651544,-0.009829133807684333,-0.010270490394691637,-0.0007459832896253196,0.001160710054713828,-0.0005813614441851643,0.0002781120207297548,-9.7396303855177e-05,-2.0519798540687474e-05,-7.284037823942552e-06,-2.0092247244702105e-06,-3.6295460532912076e-06,-4.776365681271832e-08,-2.4857395001246332e-08,-1.4638088789182928e-08,1.6881956216384696e-09,-3.5499194820745844e-20
GREENLINK_FLOW,0.06981840599274401,-0.03845012188793393,-0.14459485772261285,-0.018974152999715384,0.08240613032707747,0.11634645963707821,0.2876062421456166,-0.003845647125134522,-0.10796418198208106,0.03942317092877974,0.07986993890564234,-0.21516242690608822,0.6133119971769757,0.34337383710621405,-0.23376741179284188,-0.26402511829731723,0.253930744873168,-0.19712862730114802,-0.02276078477157143,-0.13200189225178874,-0.2035643682591235,-0.08249999409261892,-0.0528691179244416,-0.06064657801181438,0.053450167157482714,0.0229858657112134,-0.0018354763759013135,0.006978775473123388,0.003560987775607613,-0.0016282193221856189,0.0047346579560189435,-0.005339989959406127,0.014527938934513514,0.0485428563412674,0.04927507348193689,-0.021096145217131514,0.006803310941795903,-0.002878965452882812,0.0011571313888889786,0.001742734917838087,0.0014156689702669576,-0.0012350489153008948,0.0034651745971188068,0.001455644975503601,1.5615640370290105e-05,-4.089291122495334e-06,5.345124692308147e-06,4.2273053322557925e-06,8.26454738288291e-08,-7.90231818058831e-08,3.73998973866191e-09,3.137891162615213e-09,-2.7345978261026464e-19
