,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21
oldbury,0.24152012670466957,-0.20412307315944242,-0.01863638764094442,0.00818104839451699,0.1643013302328791,0.03305250817967656,-0.28423080052261973,-0.2591941640666935,0.11843854292602803,0.03983411152851189,-0.0843363169917035,-0.1696120260029913,-0.0017680358373120411,-0.33131195197424934,-0.053304591460804684,0.0343840112516569,-0.575094671848171,-0.3910761156268807,0.09434503905692573,-0.20607289173447318,-0.1523164145493954
penn,0.25367509578973124,-0.18653113113803838,-0.028227679562516195,-0.041090754765341124,-0.10955940431560006,0.010423370866968646,-0.030094720670114154,0.007650288824622214,-0.045112316263448034,-0.0360738548202999,0.2062216582342241,-0.05258355909708483,-0.11204140925509061,0.03615431638728453,-0.137603983564633,-0.19015907148427466,-0.03326798194513053,-0.21156304571608636,-0.030863265277724275,0.8448033943948048,-0.08484171681385086
ratcliffe,0.23633693905059508,0.10550431415621281,-0.05030268623433846,-0.003291068739921995,0.2518143477198681,0.079349134699634,0.6974277416099249,-0.335032675341142,-0.0790871582079697,0.4395929128863969,-0.16555134986650236,0.037522121246444766,-0.08214322608587418,0.058394186184154984,-0.11006820515352453,0.02857461691516928,0.011778617055080423,-0.06481056058472182,0.04833971558504376,0.022481600681203227,-0.05942499076063376
staythorpe,0.14955737602851205,0.39784404246964344,-0.10870399190712347,-0.12812128748332494,0.0837733207598153,0.22174509129395642,0.03871537476215675,-0.1090068913102708,0.2618896790323061,-0.01564191756113993,0.5463422893105402,-0.3324847093949901,-0.10022290161849988,-0.22258665318705723,0.3177325780087594,0.14294697285049257,0.014446514168511487,0.17225907684838743,-0.1800535069690641,0.020137356955426566,0.00022529585038244066
stoke-bardolph,0.25910804743523913,-0.06831015130176801,-0.030498872683216126,-0.15231831886351893,-0.30133741842117645,0.01569662144936942,0.19998563044741835,0.13269171935032958,0.0275833842712611,-0.11024242177155542,0.28443852681106396,-0.16425440356434548,0.18944884065824114,0.06907384296585974,-0.10000141577393652,-0.21418424446413564,0.07626257271681787,-0.008272512572076987,0.6825706392165736,-0.24266158984417815,-0.08605656204503558
upper-boat,0.2136065513881881,-0.018726683116445708,0.3597284416421531,0.2875686176115537,0.03127454510439948,-0.45932298053736975,0.2062204583877971,0.39889228503808516,0.491198235475863,0.06572309235291758,-0.09002175281432652,-0.1823489917144978,-0.10625414674488204,-0.001760286970909595,0.07230502686340216,-0.0731888803537808,-0.07992842905420988,0.02991630791146928,-0.10968279867274708,-0.008572444974501369,-0.010408883839648919
uskmouth,0.17171066237986007,0.26378920487517704,-0.1414206449327841,0.6185537935653935,-0.02177959420085201,-0.37367147598020584,-0.04588376638461039,-0.26886772731329717,-0.3908777444962366,-0.2610718767244759,0.1350531934342992,-0.14336972868849154,-0.022806573798068937,0.008541194978001588,-0.08349542056922446,0.04449633193833503,0.08615905909771099,-0.05216144895009762,0.023395173505952143,-0.05161570901478587,0.03440661916532244
walpole,0.13156964325644946,0.2586245846806336,0.4193793777038224,-0.5225443555625484,0.31928752036464164,-0.29634951261667286,-0.1652904746132865,0.07234686627790281,-0.41059358586276035,-0.022572214862915,0.017196128100896026,-0.12769073267647285,-0.20061582488437893,0.06252525261704973,-0.07521417584795254,-0.06982647571931797,0.016687921303257535,-0.009373553314983343,0.029275457946618375,-0.0502389446279263,-0.02036947716475001
willenhall,0.2316833034211485,-0.24910772271990625,0.016624424441415896,0.026590879780632917,0.19902179139778703,0.04899417217719943,-0.1648553223954884,-0.1418745262057164,0.0811432718239119,0.01057337319658847,-0.11383679765511531,0.0004921679061603544,-0.09898821878676284,-0.03342228477597216,0.4544526974494619,-0.17034070035781776,0.6006726033426776,-0.3303981927987846,0.07373194482062662,-0.08037615309475181,0.2144474382267956
willington,0.2556238360786508,-0.042206239789605575,-0.001249655407014427,0.07928113050072164,0.2110358171150555,0.115358000001859,0.23651815290133463,0.3730552174926866,-0.33149340945729994,-0.2286810936598961,0.09931677248067818,0.42841594838758285,0.22296889426752084,-0.2219268923824151,0.3789504969723882,-0.05964043664027248,-0.25773137617568764,0.0076522042171438785,-0.06462841967636959,0.003999995396948556,0.035248513436869494
